,ID,Year_Birth,Year_Old,CustomerFor,Dt_Customer,Education,Marital_Status,Income,Kidhome,Teenhome,ChildrenHome,Recency,MntSpentTotal,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,PurchaseLastMonth,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,AcceptedCmpTotal,Complain,Z_CostContact,Z_Revenue
392,2669,1993,31,3716 days,2014-05-04,Graduation,Single,74293,0,0,0,66,1127,375,152,335,93,91,81,0,1,5,4,6,2,0,0,0,0,0,0,0,0,3,11
393,455,1946,78,4097 days,2013-04-18,PhD,Married,51012,0,0,0,86,209,102,9,63,2,9,24,0,1,4,1,4,6,0,0,0,0,0,0,0,0,3,11
394,7683,1968,56,3784 days,2014-02-25,Master,Married,70777,0,1,1,80,787,554,35,113,0,7,78,0,3,5,3,12,3,0,0,0,0,0,0,0,0,3,11
395,3428,1991,33,3926 days,2013-10-06,PhD,Together,68682,0,0,0,56,1598,919,0,505,99,30,45,0,1,4,9,10,2,0,0,0,0,0,0,0,0,3,11
396,7414,1971,53,4312 days,2012-09-15,Graduation,Married,43824,1,1,2,18,186,96,1,42,12,3,32,1,4,3,1,4,8,0,0,0,0,0,0,0,0,3,11
397,6354,1984,40,4327 days,2012-08-31,Graduation,Together,15345,1,0,1,51,47,5,2,16,3,2,19,0,2,1,1,2,8,0,0,0,0,0,1,1,0,3,11
398,798,1987,37,4212 days,2012-12-24,Graduation,Single,23442,1,0,1,71,27,2,0,6,8,6,5,0,1,1,0,3,7,0,0,0,0,0,0,0,0,3,11
399,8213,1980,44,4257 days,2012-11-09,2n Cycle,Together,14515,1,0,1,71,96,6,4,9,6,36,35,0,4,2,2,3,7,0,0,0,0,0,1,1,0,3,11
400,2488,1956,68,4123 days,2013-03-23,2n Cycle,Divorced,31395,1,1,2,80,64,23,1,25,0,8,7,0,4,2,1,3,6,0,0,0,0,0,0,0,0,3,11
401,9999,1965,59,4300 days,2012-09-27,Graduation,Together,75276,0,0,0,2,1040,610,105,125,137,42,21,1,1,9,4,9,5,0,0,0,0,0,0,0,0,3,11
402,7617,1974,50,3978 days,2013-08-15,Graduation,Single,42373,1,1,2,83,163,67,5,61,3,8,19,0,5,2,1,5,5,0,0,0,0,0,0,0,0,3,11
403,615,1960,64,4135 days,2013-03-11,Graduation,Together,30507,0,0,0,29,343,65,36,74,38,20,110,1,1,5,1,4,7,0,0,0,0,0,0,0,0,3,11
404,2552,1955,69,3910 days,2013-10-22,PhD,Single,55521,1,2,3,11,446,416,0,26,0,0,4,1,9,6,3,6,7,0,0,0,1,0,1,2,0,3,11
405,194,1965,59,3680 days,2014-06-09,Graduation,Married,48006,1,1,2,55,41,23,0,11,3,2,2,0,1,1,0,3,6,0,0,0,0,0,0,0,0,3,11
406,3645,1972,52,4328 days,2012-08-30,PhD,Single,27213,1,0,1,19,70,19,3,26,10,9,3,1,3,2,0,4,8,0,0,0,0,0,1,1,0,3,11
407,8890,1971,53,3690 days,2014-05-30,PhD,Divorced,65808,1,1,2,1,272,155,7,80,13,7,10,1,3,5,1,5,6,0,0,0,0,0,0,0,0,3,11
408,5049,1974,50,4048 days,2013-06-06,PhD,Together,30351,1,0,1,19,46,14,0,24,3,3,2,1,1,3,0,2,9,0,0,0,0,0,0,0,0,3,11
409,9973,1963,61,4280 days,2012-10-17,Graduation,Married,50437,0,2,2,28,490,370,9,92,6,9,4,1,3,7,1,8,7,0,0,0,0,0,0,0,0,3,11
410,7301,1982,42,4249 days,2012-11-17,2n Cycle,Single,23616,1,0,1,76,79,4,22,11,3,7,32,0,2,3,0,3,8,0,0,0,0,0,1,1,0,3,11
411,10882,1976,48,4257 days,2012-11-09,Graduation,Married,53858,0,1,1,50,915,407,53,221,58,150,26,0,4,4,3,6,4,0,0,0,0,0,0,0,0,3,11
412,7030,1955,69,4116 days,2013-03-30,PhD,Married,66465,0,1,1,1,1485,1200,0,204,38,29,14,1,3,11,9,12,6,1,0,0,0,0,0,1,0,3,11
413,7422,1987,37,4336 days,2012-08-22,Graduation,Single,46923,1,0,1,90,369,85,44,54,102,78,6,0,3,5,1,7,7,0,0,0,0,0,0,0,0,3,11
414,3523,1962,62,4182 days,2013-01-23,Graduation,Together,75072,0,1,1,83,1073,583,34,309,0,22,125,0,2,5,4,8,3,0,0,0,0,0,0,0,0,3,11
415,7106,1943,81,3750 days,2014-03-31,PhD,Married,75865,0,0,0,73,1242,483,0,591,156,0,12,0,1,3,5,10,1,0,0,0,0,0,0,0,0,3,11
416,6504,1975,49,3881 days,2013-11-20,2n Cycle,Together,19789,1,0,1,24,78,2,5,9,28,6,28,1,3,2,1,3,5,0,0,1,0,0,0,1,0,3,11
417,5067,1994,30,3795 days,2014-02-14,Graduation,Together,80134,0,0,0,11,1378,966,26,282,52,26,26,1,1,2,7,11,5,1,1,0,1,1,0,4,0,3,11
418,4216,1981,43,4152 days,2013-02-22,Graduation,Single,91065,0,0,0,33,1474,822,114,108,179,137,114,0,1,7,9,9,3,1,0,0,0,1,1,3,0,3,11
419,8581,1971,53,4141 days,2013-03-05,Master,Married,49505,1,1,2,4,751,604,0,100,19,0,28,1,9,10,2,8,8,0,0,0,0,0,0,0,0,3,11
420,5929,1973,51,3714 days,2014-05-06,PhD,Married,37401,1,0,1,14,48,19,3,19,3,1,3,1,2,2,0,3,7,0,0,0,0,0,0,0,0,3,11
421,3129,1983,41,3698 days,2014-05-22,Graduation,Married,30096,1,0,1,30,45,5,3,11,12,5,9,0,1,2,0,3,6,0,0,0,0,0,0,0,0,3,11
422,6528,1982,42,3684 days,2014-06-05,Master,Together,18492,1,0,1,75,10,2,2,2,2,1,1,0,1,1,0,2,8,0,0,0,0,0,0,0,0,3,11
423,1361,1974,50,4050 days,2013-06-04,Master,Married,82584,0,0,0,26,1435,1076,68,103,29,91,68,1,1,3,4,8,1,0,0,0,1,1,1,3,0,3,11
424,6932,1941,83,4102 days,2013-04-13,PhD,Married,93027,0,0,0,77,2119,1285,42,716,55,0,21,0,0,7,10,5,2,0,0,0,0,1,0,1,0,3,11
425,7284,1953,71,3867 days,2013-12-04,Graduation,Married,48686,1,2,3,8,20,10,0,7,2,0,1,1,1,1,0,2,8,0,0,0,0,0,0,0,0,3,11
426,1340,1986,38,3726 days,2014-04-24,Graduation,Married,92910,0,0,0,42,1795,551,137,792,179,103,33,0,1,6,7,13,1,1,0,0,1,1,0,3,0,3,11
427,8746,1989,35,3745 days,2014-04-05,Graduation,Married,75433,1,0,1,28,1188,800,0,297,0,34,57,1,2,2,5,10,6,1,0,0,1,0,0,2,0,3,11
428,5987,1989,35,3716 days,2014-05-04,2n Cycle,Together,10404,1,0,1,52,43,2,2,11,10,6,12,0,2,1,0,4,5,0,0,0,0,0,0,0,0,3,11
429,3767,1968,56,4090 days,2013-04-25,Graduation,Married,61314,0,1,1,1,1008,378,0,189,97,172,172,1,2,5,5,12,3,0,0,0,0,0,0,0,0,3,11
430,3725,1961,63,4076 days,2013-05-09,PhD,Single,84865,0,0,0,1,1688,1248,16,349,43,16,16,1,1,2,4,9,4,1,1,0,1,1,1,5,0,3,11
431,4324,1989,35,4268 days,2012-10-29,Graduation,Married,42387,1,0,1,42,684,235,0,235,19,4,191,0,5,8,1,7,8,0,0,0,0,0,0,0,0,3,11
432,238,1967,57,4182 days,2013-01-23,2n Cycle,Together,67309,1,1,2,76,1082,515,47,181,149,95,95,0,15,9,6,9,7,0,0,0,0,0,0,0,0,3,11
433,6694,1964,60,3876 days,2013-11-25,Graduation,Married,75236,0,1,1,27,1068,438,66,400,12,38,114,1,1,8,3,13,4,0,0,0,0,0,0,0,0,3,11
434,498,1970,54,3807 days,2014-02-02,Graduation,Single,30015,1,0,1,28,57,25,0,22,2,3,5,1,2,1,0,4,5,0,0,0,0,0,0,0,0,3,11
435,9347,1956,68,4033 days,2013-06-21,Master,Together,50943,0,1,1,49,46,31,0,7,2,0,6,0,1,1,0,3,5,0,0,0,0,0,0,0,0,3,11
436,9699,1966,58,3850 days,2013-12-21,Graduation,Divorced,67272,0,1,1,12,733,357,35,271,28,28,14,1,3,6,2,12,5,0,0,0,0,0,0,0,0,3,11
437,10664,1949,75,3955 days,2013-09-07,Master,Widow,51529,0,1,1,14,467,400,4,35,6,0,22,1,2,9,1,5,8,0,0,0,0,0,0,0,0,3,11
438,5455,1971,53,3971 days,2013-08-22,PhD,Married,32011,1,0,1,89,122,99,0,15,2,1,5,0,3,2,1,4,7,0,0,0,0,0,0,0,0,3,11
439,456,1986,38,4167 days,2013-02-07,2n Cycle,Married,7500,1,0,1,96,36,1,11,5,4,6,9,0,2,2,0,3,8,0,0,0,0,0,0,0,0,3,11
440,5012,1989,35,4020 days,2013-07-04,Graduation,Married,28691,1,0,1,56,34,5,4,13,8,0,4,0,1,1,0,3,8,0,0,0,0,0,0,0,0,3,11
441,7495,1948,76,3851 days,2013-12-20,PhD,Married,56223,0,1,1,72,156,77,28,31,16,0,4,0,2,2,1,5,4,0,0,0,0,0,0,0,0,3,11
442,5029,1946,78,3987 days,2013-08-06,Graduation,Married,18100,0,0,0,14,14,3,1,2,4,3,1,1,1,0,0,3,5,0,0,0,0,0,0,0,0,3,11
443,10642,1989,35,4206 days,2012-12-30,Graduation,Single,30279,1,0,1,13,37,10,4,14,4,4,1,1,1,1,0,3,8,0,0,0,0,0,0,0,0,3,11
444,2106,1974,50,3764 days,2014-03-17,2n Cycle,Married,20130,0,0,0,99,34,0,6,3,7,6,12,0,1,1,0,3,8,0,0,0,0,0,0,0,0,3,11
445,10364,1959,65,4011 days,2013-07-13,Graduation,Divorced,23295,0,0,0,72,20,0,0,1,2,12,5,0,1,1,0,2,8,0,0,0,0,0,0,0,0,3,11
446,5954,1972,52,3923 days,2013-10-09,Master,Divorced,42618,1,0,1,92,192,76,14,74,13,5,10,0,2,5,0,4,8,0,0,0,0,0,0,0,0,3,11
447,1137,1964,60,3842 days,2013-12-29,Graduation,Single,81246,0,0,0,87,1379,398,190,537,61,156,37,0,1,4,5,7,1,1,0,1,0,0,0,2,0,3,11
448,2541,1976,48,4045 days,2013-06-09,Graduation,Married,24027,1,0,1,7,48,14,7,11,11,0,5,1,2,2,0,3,8,0,0,0,0,0,0,0,0,3,11
449,1142,1953,71,3849 days,2013-12-22,PhD,Married,55707,0,1,1,91,428,208,7,82,30,66,35,0,2,3,2,9,3,0,0,0,0,0,0,0,0,3,11
450,2276,1955,69,4083 days,2013-05-02,Graduation,Single,57959,0,1,1,71,868,430,16,322,43,24,33,0,5,4,7,11,3,0,0,0,0,0,0,0,0,3,11
451,2807,1969,55,4158 days,2013-02-16,Graduation,Married,56796,0,1,1,24,1001,656,38,161,62,47,37,1,3,8,9,7,7,0,0,0,0,0,0,0,0,3,11
452,6471,1971,53,3915 days,2013-10-17,Master,Single,36230,1,0,1,17,59,14,2,30,8,2,3,1,1,2,0,4,5,0,0,0,0,0,0,0,0,3,11
453,6131,1980,44,3870 days,2013-12-01,2n Cycle,Married,70829,1,1,2,87,431,141,70,106,72,19,23,0,2,4,2,8,3,0,0,0,0,0,0,0,0,3,11
454,6233,1976,48,4320 days,2012-09-07,Graduation,Married,65991,0,1,1,21,971,507,19,364,25,47,9,1,3,9,5,10,7,0,0,0,0,0,0,0,0,3,11
455,4148,1972,52,4338 days,2012-08-20,Graduation,Married,38988,1,2,3,90,348,164,24,103,12,3,42,0,7,5,1,6,8,0,0,0,0,0,0,0,0,3,11
456,4947,1966,58,4312 days,2012-09-15,2n Cycle,Single,89572,0,0,0,44,2059,606,24,974,197,194,64,0,1,7,7,9,4,1,0,0,1,0,1,3,0,3,11
457,3225,1984,40,4114 days,2013-04-01,Master,Married,42207,1,0,1,71,265,116,11,72,3,17,46,0,4,4,1,5,6,0,0,1,0,0,1,2,0,3,11
458,7540,1952,72,3695 days,2014-05-25,Graduation,Married,50300,0,1,1,52,270,143,15,60,24,23,5,0,2,2,1,8,2,0,0,0,0,0,0,0,0,3,11
459,10648,1982,42,4302 days,2012-09-25,2n Cycle,Together,66664,0,0,0,78,1289,398,96,447,220,96,32,0,1,5,7,6,3,0,0,0,0,0,0,0,0,3,11
460,1992,1964,60,3839 days,2014-01-01,Graduation,Married,60597,0,1,1,2,893,522,0,257,32,16,66,1,4,2,2,8,7,1,0,0,0,0,1,2,0,3,11
461,7851,1949,75,3940 days,2013-09-22,Graduation,Widow,70165,0,0,0,60,926,161,0,253,199,191,122,0,1,3,7,11,1,0,0,0,0,0,0,0,0,3,11
462,8594,1958,66,3812 days,2014-01-28,PhD,Widow,50520,0,1,1,25,135,112,0,6,2,1,14,1,2,3,1,3,6,0,0,0,0,0,0,0,0,3,11
463,7059,1963,61,3663 days,2014-06-26,Graduation,Married,80124,0,0,0,47,1495,483,84,398,205,84,241,0,1,3,7,8,1,0,0,1,0,0,0,1,0,3,11
464,2815,1975,49,3785 days,2014-02-24,Graduation,Married,33183,1,0,1,46,120,7,5,39,17,15,37,0,2,4,0,3,7,0,0,0,0,0,0,0,0,3,11
465,2416,1969,55,3778 days,2014-03-03,PhD,Single,66582,0,0,0,83,1288,789,25,420,16,38,0,0,1,2,8,9,1,0,0,0,0,0,0,0,0,3,11
466,7999,1955,69,4092 days,2013-04-23,PhD,Together,75261,0,0,0,17,1743,1239,17,413,23,34,17,1,1,5,6,5,2,0,0,0,1,1,1,3,0,3,11
467,9213,1970,54,4266 days,2012-10-31,Graduation,Widow,31880,1,0,1,13,15,4,1,5,2,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,0,3,11
468,9697,1951,73,3775 days,2014-03-06,Graduation,Married,53790,0,2,2,86,542,335,42,127,28,5,5,0,3,7,2,8,6,0,0,0,0,0,0,0,0,3,11
469,3916,1971,53,4343 days,2012-08-15,PhD,Together,49269,1,0,1,92,890,639,8,166,11,8,58,0,3,7,3,12,7,0,0,0,0,0,0,0,0,3,11
470,2021,1975,49,4119 days,2013-03-27,Graduation,Married,61456,0,1,1,47,1388,563,76,384,84,192,89,0,4,6,10,13,4,0,0,0,0,0,0,0,0,3,11
471,1581,1980,44,3922 days,2013-10-10,Graduation,Married,37406,1,0,1,18,17,2,0,8,2,2,3,1,1,1,0,2,8,0,0,0,0,0,1,1,0,3,11
472,564,1981,43,4354 days,2012-08-04,PhD,Together,56937,1,0,1,81,906,746,8,125,11,8,8,0,7,8,6,9,6,0,0,0,1,0,1,2,0,3,11
473,6619,1978,46,4203 days,2013-01-02,Graduation,Married,38415,1,1,2,91,44,22,1,13,4,0,4,0,2,1,0,3,7,0,0,0,0,0,0,0,0,3,11
474,9081,1988,36,3702 days,2014-05-18,Graduation,Single,20518,1,0,1,58,25,4,1,6,4,1,9,0,1,1,1,2,5,0,0,0,0,0,0,0,0,3,11
475,178,1956,68,4156 days,2013-02-18,Graduation,Married,62503,0,1,1,40,973,478,0,193,110,75,117,0,4,8,3,11,5,0,0,0,0,0,0,0,0,3,11
476,916,1972,52,3711 days,2014-05-09,PhD,Single,41644,1,1,2,67,31,20,3,4,2,0,2,0,2,1,0,3,3,0,0,0,0,0,0,0,0,3,11
477,5512,1977,47,3697 days,2014-05-23,Master,Married,55842,0,1,1,19,518,451,0,39,0,4,24,1,1,7,1,8,5,0,0,0,0,0,0,0,0,3,11
478,8970,1972,52,4274 days,2012-10-23,PhD,Married,62010,0,1,1,93,530,371,22,39,6,0,92,0,4,6,2,7,5,0,0,0,0,0,0,0,0,3,11
479,10581,1977,47,4266 days,2012-10-31,Graduation,Married,41124,1,0,1,41,506,281,7,84,15,0,119,0,7,7,3,4,8,0,0,0,0,0,0,0,0,3,11
480,5300,1973,51,3841 days,2013-12-30,Master,Married,38961,1,0,1,60,70,19,7,19,0,1,24,0,1,2,1,2,7,0,0,0,0,0,0,0,0,3,11
481,5154,1972,52,3982 days,2013-08-11,Master,Divorced,37760,1,0,1,54,54,26,3,13,2,10,0,0,1,2,0,3,6,0,0,0,0,0,0,0,0,3,11
482,8346,1974,50,4339 days,2012-08-19,Graduation,Single,32233,1,0,1,26,296,138,15,35,25,11,72,1,2,6,2,2,9,0,0,1,0,0,1,2,0,3,11
483,1676,1975,49,3902 days,2013-10-30,Graduation,Married,43057,0,1,1,30,266,213,2,44,0,2,5,0,4,4,2,5,5,0,0,0,0,0,0,0,0,3,11
484,9286,1960,64,4287 days,2012-10-10,Master,Together,83151,0,0,0,93,747,407,28,100,120,74,18,0,1,5,9,4,3,0,0,0,0,0,0,0,0,3,11
485,2426,1964,60,4313 days,2012-09-14,PhD,Divorced,78825,0,0,0,35,895,483,74,114,169,37,18,0,1,5,10,13,3,0,0,0,0,0,1,1,0,3,11
486,5172,1976,48,3887 days,2013-11-14,Master,Together,65104,0,1,1,4,1053,738,0,232,13,20,50,1,2,3,5,7,7,0,0,0,0,0,0,0,0,3,11
487,5562,1974,50,4028 days,2013-06-26,Graduation,Married,60093,0,1,1,92,735,502,12,109,16,6,90,0,2,7,2,10,6,0,0,0,0,0,0,0,0,3,11
488,3436,1969,55,3814 days,2014-01-26,Graduation,Married,14045,1,0,1,24,20,11,0,5,2,1,1,1,1,1,0,3,7,0,0,0,0,0,0,0,0,3,11
489,3921,1952,72,4269 days,2012-10-28,2n Cycle,Widow,28457,0,0,0,96,205,24,1,108,29,29,14,0,1,4,1,4,8,0,0,0,0,0,0,0,0,3,11
490,3403,1958,66,4303 days,2012-09-24,PhD,Together,78952,0,1,1,11,2092,1170,19,594,99,76,134,1,2,2,5,12,6,0,0,0,0,0,0,0,0,3,11
491,22,1976,48,4233 days,2012-12-03,Graduation,Divorced,46310,1,0,1,99,309,185,2,88,15,5,14,0,2,6,1,5,8,0,0,0,0,0,0,0,0,3,11
492,10965,1955,69,4152 days,2013-02-22,Graduation,Together,76005,0,0,0,72,1722,983,20,389,240,50,40,0,1,3,5,13,6,1,0,0,0,0,0,1,0,3,11
493,9426,1964,60,4193 days,2013-01-12,Master,Single,58308,0,1,1,77,900,691,0,69,10,0,130,0,4,2,6,3,8,0,0,0,0,0,0,0,0,3,11
494,6605,1944,80,3874 days,2013-11-27,PhD,Divorced,55614,0,0,0,85,682,504,13,131,8,0,26,0,1,9,4,6,7,0,0,0,1,0,0,1,0,3,11
495,3136,1962,62,4102 days,2013-04-13,Master,Divorced,59432,0,1,1,88,663,317,25,265,25,19,12,0,3,5,3,11,5,0,0,0,0,0,0,0,0,3,11
496,8737,1978,46,3745 days,2014-04-05,Graduation,Divorced,55563,0,1,1,22,43,29,1,9,2,0,2,1,1,2,0,3,3,0,0,0,0,0,0,0,0,3,11
497,11088,1971,53,4094 days,2013-04-21,PhD,Together,78642,0,1,1,83,1816,1396,0,322,46,35,17,0,1,4,9,4,6,0,0,0,0,0,0,0,0,3,11
498,716,1949,75,3698 days,2014-05-22,PhD,Together,67911,0,1,1,63,976,529,0,356,63,28,0,0,3,6,7,11,3,0,0,0,0,0,0,0,0,3,11
499,466,1944,80,4112 days,2013-04-03,Graduation,Married,65275,0,0,0,9,746,388,14,218,91,14,21,1,1,4,3,13,2,0,0,0,0,0,0,0,0,3,11
500,9135,1950,74,4352 days,2012-08-06,Graduation,Together,27203,1,1,2,92,64,13,2,21,4,0,24,0,2,1,1,2,8,0,0,0,0,0,0,0,0,3,11
501,10623,1961,63,3886 days,2013-11-15,Master,Together,48330,0,1,1,2,32,28,0,4,0,0,0,1,1,1,0,3,5,0,0,0,0,0,0,0,0,3,11
502,8151,1990,34,4207 days,2012-12-29,Basic,Married,24279,0,0,0,6,263,16,36,21,20,62,108,1,1,4,1,3,8,0,0,0,0,0,0,0,0,3,11
503,5140,1985,39,4334 days,2012-08-24,PhD,Married,64355,1,0,1,66,1445,1047,0,140,67,38,153,0,2,4,3,12,8,0,0,0,0,0,0,0,0,3,11
504,10160,1956,68,4033 days,2013-06-21,Master,Together,50943,0,1,1,49,46,31,0,7,2,0,6,0,1,1,0,3,5,0,0,0,0,0,0,0,0,3,11
505,4945,1953,71,4259 days,2012-11-07,Graduation,Widow,53653,0,0,0,29,1210,815,10,239,28,10,108,1,2,10,4,12,6,0,0,0,0,0,0,0,0,3,11
506,10584,1976,48,3869 days,2013-12-02,Graduation,Married,65665,0,1,1,77,945,225,162,387,106,36,29,0,1,5,10,8,3,0,0,0,0,0,0,0,0,3,11
507,6071,1989,35,4005 days,2013-07-19,Graduation,Single,81217,0,0,0,77,1157,493,70,324,146,40,84,0,1,3,7,11,1,0,0,0,0,0,0,0,0,3,11
508,3386,1992,32,4033 days,2013-06-21,Graduation,Married,34935,0,0,0,71,137,34,4,66,3,10,20,0,1,2,1,4,7,0,0,0,0,0,0,0,0,3,11
509,8939,1959,65,4220 days,2012-12-16,Graduation,Divorced,61250,0,1,1,49,730,382,138,65,60,26,59,0,6,5,2,12,5,0,0,0,0,0,0,0,0,3,11
510,9925,1981,43,4060 days,2013-05-25,PhD,Together,39665,1,0,1,97,216,127,1,56,0,1,31,0,3,4,2,3,7,0,0,1,0,0,0,1,0,3,11
511,4320,1979,45,4118 days,2013-03-28,Graduation,Single,60152,0,1,1,6,943,325,83,300,86,58,91,1,1,6,4,12,3,0,0,0,0,0,0,0,0,3,11
512,5389,1964,60,3912 days,2013-10-20,Graduation,Married,48920,0,2,2,93,347,238,17,68,8,10,6,0,3,6,2,5,7,0,0,0,1,0,0,1,0,3,11
513,6036,1959,65,3764 days,2014-03-17,Master,Together,89120,0,0,0,78,1924,1168,92,408,72,129,55,0,1,5,6,7,1,0,0,0,0,1,0,1,0,3,11
514,182,1946,78,4074 days,2013-05-11,PhD,Together,44124,0,1,1,62,397,284,0,55,0,6,52,0,4,6,2,5,8,0,0,0,0,0,0,0,0,3,11
515,203,1975,49,4101 days,2013-04-14,Master,Single,81169,0,0,0,47,2089,1288,20,613,80,61,27,0,1,5,7,9,2,0,0,0,0,0,0,0,0,3,11
516,11025,1961,63,4171 days,2013-02-03,Graduation,Married,36443,1,1,2,9,138,65,0,46,4,3,20,1,4,3,1,3,8,0,0,0,0,0,0,0,0,3,11
517,10203,1990,34,4024 days,2013-06-30,Graduation,Single,26095,1,0,1,77,42,11,7,9,3,1,11,0,1,1,0,3,7,0,0,0,0,0,0,0,0,3,11
518,4607,1959,65,3970 days,2013-08-23,Graduation,Together,71367,0,0,0,24,777,227,23,389,42,21,75,1,1,4,5,7,2,0,0,0,0,0,0,0,0,3,11
519,3711,1944,80,3780 days,2014-03-01,Master,Married,80184,0,0,0,19,1902,1035,134,670,25,38,0,1,1,6,3,10,3,1,0,0,0,1,0,2,0,3,11
520,3696,1965,59,3813 days,2014-01-27,Graduation,Divorced,30630,1,1,2,67,52,27,1,12,2,0,10,0,2,2,0,3,7,0,0,0,0,0,0,0,0,3,11
521,2532,1987,37,3780 days,2014-03-01,Master,Single,73454,0,0,0,95,1651,982,73,351,56,14,175,0,1,2,4,6,5,0,0,1,0,0,0,1,0,3,11
522,9214,1991,33,3977 days,2013-08-16,Graduation,Married,42691,0,0,0,48,358,179,2,64,38,17,58,0,1,5,1,6,5,0,0,0,0,0,0,0,0,3,11
523,4943,1953,71,4297 days,2012-09-30,Graduation,Married,70503,0,0,0,73,1727,1379,33,216,0,33,66,0,1,2,4,9,6,0,0,0,1,1,0,2,0,3,11
524,35,1987,37,4319 days,2012-09-08,Graduation,Married,25545,1,0,1,35,210,32,1,64,16,12,85,0,3,2,2,3,6,0,0,0,0,0,1,1,0,3,11
525,2258,1986,38,4232 days,2012-12-04,Graduation,Married,32880,1,0,1,76,42,8,4,15,7,6,2,0,1,1,0,3,8,0,0,0,0,0,0,0,0,3,11
526,4322,1958,66,3874 days,2013-11-27,PhD,Together,77863,0,0,0,20,1291,881,38,319,16,25,12,1,1,4,5,10,2,0,0,0,0,0,0,0,0,3,11
527,713,1977,47,3681 days,2014-06-08,Master,Married,50353,0,0,0,72,442,141,15,153,67,31,35,0,1,4,4,6,3,0,0,0,0,0,0,0,0,3,11
528,4702,1964,60,4346 days,2012-08-12,Graduation,Single,61839,0,0,0,20,1895,1000,155,379,224,17,120,1,1,4,8,4,8,0,0,0,0,0,0,0,0,3,11
529,3281,1960,64,3898 days,2013-11-03,PhD,Married,49154,1,1,2,69,411,206,10,67,30,27,71,0,6,4,1,8,6,0,0,0,0,0,0,0,0,3,11
530,702,1975,49,4159 days,2013-02-15,2n Cycle,Widow,47682,0,1,1,80,521,162,61,83,97,57,61,0,4,4,3,8,5,0,0,0,0,0,0,0,0,3,11
531,2004,1969,55,3944 days,2013-09-18,Graduation,Single,72679,0,1,1,65,1168,619,54,260,127,54,54,0,1,4,7,5,1,0,0,0,0,0,0,0,0,3,11
532,4769,1977,47,3671 days,2014-06-18,Master,Together,57954,1,1,2,52,493,456,4,24,0,0,9,0,7,8,2,6,7,0,0,0,1,0,0,1,0,3,11
533,4437,1962,62,4091 days,2013-04-24,Graduation,Married,65316,1,1,2,65,260,112,6,92,3,9,38,0,2,3,2,5,4,0,0,0,0,0,0,0,0,3,11
534,8724,1982,42,4037 days,2013-06-17,Graduation,Single,28567,1,0,1,57,46,11,3,22,2,2,6,0,2,2,0,3,6,0,0,0,0,0,0,0,0,3,11
535,10741,1951,73,4104 days,2013-04-11,Master,Together,47352,0,1,1,70,319,172,12,112,8,0,15,0,4,6,1,5,7,0,0,0,0,0,0,0,0,3,11
536,1991,1967,57,3822 days,2014-01-18,Graduation,Together,44931,0,1,1,0,96,78,0,11,0,0,7,1,1,2,1,3,5,0,0,0,0,0,0,0,0,3,11
537,6931,1967,57,3794 days,2014-02-15,Graduation,Divorced,76982,0,0,0,19,1062,464,151,292,65,60,30,1,1,8,3,4,4,0,0,0,0,1,1,2,0,3,11
538,11096,1952,72,3985 days,2013-08-08,2n Cycle,Together,57247,0,1,1,50,232,99,4,32,37,54,6,0,2,2,1,7,2,0,0,0,0,0,0,0,0,3,11
539,304,1981,43,3848 days,2013-12-23,Master,Single,22944,1,0,1,67,76,19,3,19,4,5,26,0,3,3,0,3,7,0,0,0,0,0,0,0,0,3,11
540,3665,1977,47,3894 days,2013-11-07,2n Cycle,Together,25315,1,0,1,46,54,1,9,8,11,3,22,0,3,3,0,3,8,0,0,0,0,0,0,0,0,3,11
541,10591,1969,55,4352 days,2012-08-06,Graduation,Widow,43638,0,1,1,37,201,63,10,83,7,19,19,0,2,4,1,4,7,0,0,0,0,0,0,0,0,3,11
542,5036,1984,40,4238 days,2012-11-28,PhD,Single,42710,1,0,1,38,406,252,3,42,4,3,102,0,2,4,5,3,6,0,0,0,0,0,0,0,0,3,11
543,5547,1982,42,3986 days,2013-08-07,PhD,Married,84169,0,0,0,9,1919,1478,19,403,0,19,0,1,1,7,6,6,3,0,0,0,1,1,1,3,0,3,11
544,7822,1976,48,4050 days,2013-06-04,Graduation,Together,54058,0,1,1,56,662,198,18,252,32,108,54,0,2,4,6,8,3,0,0,0,0,0,0,0,0,3,11
545,8541,1990,34,3773 days,2014-03-08,2n Cycle,Married,24683,1,0,1,98,41,8,4,10,6,7,6,0,2,2,0,4,5,0,0,0,0,0,0,0,0,3,11
546,10955,1964,60,3833 days,2014-01-07,Graduation,Widow,85620,0,0,0,68,1600,416,46,925,60,107,46,0,1,3,6,4,1,0,0,0,0,0,1,1,0,3,11
547,4368,1980,44,3868 days,2013-12-03,Graduation,Married,47850,1,0,1,72,134,42,7,43,20,12,10,0,1,3,0,4,6,0,0,0,0,0,0,0,0,3,11
548,9671,1968,56,3814 days,2014-01-26,Graduation,Married,19514,1,1,2,47,69,14,3,21,2,1,28,0,4,3,1,2,8,0,0,1,0,0,1,2,0,3,11
